N 1000, num thread 1, exec time 0.000023s, function f2 
N 1000, num thread 2, exec time 0.000060s, function f2 
N 1000, num thread 3, exec time 0.000053s, function f2 
N 1000, num thread 4, exec time 0.000073s, function f2 
N 1000, num thread 5, exec time 0.000089s, function f2 
N 1000, num thread 6, exec time 0.000169s, function f2 
N 1000, num thread 7, exec time 0.000137s, function f2 
N 1000, num thread 8, exec time 0.000115s, function f2 
N 1000, num thread 9, exec time 0.000148s, function f2 
N 1000, num thread 10, exec time 0.000200s, function f2 
N 1000, num thread 11, exec time 0.000264s, function f2 
N 1000, num thread 12, exec time 0.000193s, function f2 
N 1000, num thread 13, exec time 0.000217s, function f2 
N 1000, num thread 14, exec time 0.000221s, function f2 
N 1000, num thread 15, exec time 0.000243s, function f2 
N 1000, num thread 16, exec time 0.000344s, function f2 
N 100000, num thread 1, exec time 0.001053s, function f2 
N 100000, num thread 2, exec time 0.000556s, function f2 
N 100000, num thread 3, exec time 0.000334s, function f2 
N 100000, num thread 4, exec time 0.000484s, function f2 
N 100000, num thread 5, exec time 0.000247s, function f2 
N 100000, num thread 6, exec time 0.000515s, function f2 
N 100000, num thread 7, exec time 0.000291s, function f2 
N 100000, num thread 8, exec time 0.000254s, function f2 
N 100000, num thread 9, exec time 0.000319s, function f2 
N 100000, num thread 10, exec time 0.000304s, function f2 
N 100000, num thread 11, exec time 0.000348s, function f2 
N 100000, num thread 12, exec time 0.000437s, function f2 
N 100000, num thread 13, exec time 0.000348s, function f2 
N 100000, num thread 14, exec time 0.000685s, function f2 
N 100000, num thread 15, exec time 0.000568s, function f2 
N 100000, num thread 16, exec time 0.000336s, function f2 
N 10000000, num thread 1, exec time 0.082082s, function f2 
N 10000000, num thread 2, exec time 0.041181s, function f2 
N 10000000, num thread 3, exec time 0.028253s, function f2 
N 10000000, num thread 4, exec time 0.021503s, function f2 
N 10000000, num thread 5, exec time 0.017208s, function f2 
N 10000000, num thread 6, exec time 0.014340s, function f2 
N 10000000, num thread 7, exec time 0.012464s, function f2 
N 10000000, num thread 8, exec time 0.016262s, function f2 
N 10000000, num thread 9, exec time 0.017189s, function f2 
N 10000000, num thread 10, exec time 0.015978s, function f2 
N 10000000, num thread 11, exec time 0.015051s, function f2 
N 10000000, num thread 12, exec time 0.013425s, function f2 
N 10000000, num thread 13, exec time 0.012494s, function f2 
N 10000000, num thread 14, exec time 0.011517s, function f2 
N 10000000, num thread 15, exec time 0.010861s, function f2 
